species	Fusarium_flagelliforme	Fusarium_fujikuroi	Fusarium_graminearum	Fusarium_mangiferae	Fusarium_musae	Fusarium_oxysporum	Fusarium_poae	Fusarium_sp.	Fusarium_subglutinans	Fusarium_tjaetaba	Fusarium_vanettenii	Fusarium_verticillioides	NI_2020	NI_2021	Inoc_2020	Inoc_2021	NI	Inoc	FER	FER_2020	FER_2021	Fusarium	Fusarium_spp
B73	0	0	0	0	0	0	0	9209	0	0	0	0	4.718869684	3.236035422	6.144213037	4.587782492	4.085285042	5.722391368	4.908837565	5.424005928	3.929133921	3.1841	9209
B73HTRHM	0	0	0	0	0	0	0	0	0	0	0	0	4.828334854	2.708106267	5.144762186	6.896587524	3.345199001	6.442714291	4.898461542	4.884816653	4.854644126	2.9429	0
B75	0	0	0	0	0	0	0	0	0	0	0	0	6.956022198	NA	7.257886843	NA	6.989872673	7.36888937	7.189849986	7.036174594	NA	3.0543	0
B76	0	0	0	0	0	0	0	0	0	0	0	0	1.956022198	3.449250681	5.257886843	4.078977461	2.74457155	4.870849885	3.810327373	3.536174594	3.726583158	3.1209	0
B77	0	0	0	0	0	0	0	0	0	0	0	0	6.339084229	2.819822888	5.597260813	3.170172429	4.945826452	4.514578697	4.736595712	5.990248415	2.912552674	2.7235	0
B79	0	0	0	0	0	0	0	0	0	0	0	8332.62	0.828334854	5.708106267	NA	6.896587524	2.845199001	7.660268025	4.661858664	1.367229095	6.354644126	3.1683	8332.62
B84	0	0	0	0	0	0	0	0	0	0	0	0	6.339084229	2.449250681	7.597260813	7.078977461	4.546453902	7.586443104	6.074729882	6.990248415	4.726583158	3.2049	0
B97	0	0	0	0	0	0	0	0	0	0	0	0	4.30924701	4.513964578	4.684136156	4.283379977	4.395164921	4.784492689	4.603905818	4.478347298	4.3835984	2.822	0
C103	0	0	0	0	0	0	0	0	0	0	0	0	1.211396885	2.33753406	7.484136156	NA	1.247708804	7.656346995	3.649898192	4.338890475	1.986022585	3.2896	0
C123	0	0	0	0	0	0	0	0	0	0	0	24228.13	3.211396885	NA	6.484136156	NA	3.392382476	6.656346995	5.042386665	4.838890475	NA	3.3915	24228.13
C49A	0	0	0	0	0	0	0	0	0	0	0	0	1.828334854	NA	7.144762186	NA	1.788617771	7.225160557	4.513581647	4.384816653	NA	3.8069	0
CH701-30	0	0	0	0	0	0	0	0	0	0	0	0	6.083709542	5.449250681	5.371011499	7.078977461	5.845199001	6.442714291	6.148461542	5.687532534	6.226583158	3.0681	0
CH9	0	0	0	0	0	0	0	0	0	0	0	5624.17	5.339084229	5.819822888	7.597260813	7.170172429	5.945826452	7.514578697	6.736595712	6.490248415	6.412552674	3.1975	5624.17
CI.7	0	24308.92	0	0	0	0	0	0	0	0	0	0	7.466771572	2.33753406	7.71038547	6.805392555	4.448963705	7.873900729	6.17726656	7.641606356	4.66867461	3.498	24308.92
CI187-2	0	0	0	0	0	0	0	0	0	0	0	0	2.083709542	1.078678474	6.371011499	1.987782492	1.445826452	4.514578697	2.986595712	4.187532534	1.540613642	3.2888	0
CI21E	0	0	0	0	0	0	0	0	0	0	0	0	7.211396885	6.449250681	7.484136156	7.078977461	6.945826452	7.514578697	7.236595712	7.338890475	6.726583158	3.4626	0
CI28A	0	0	0	0	0	0	0	0	0	0	0	0	5.828334854	5.819822888	7.144762186	6.170172429	6.043316649	6.727121072	6.384059033	6.384816653	5.912552674	3.531	0
CI31A	0	0	0	0	0	5142.85	0	0	0	0	0	0	5.828334854	4.078678474	7.144762186	3.987782492	4.74457155	5.870849885	5.310327373	6.384816653	4.040613642	2.8534	5142.85
CI3A	0	0	0	0	0	0	0	0	0	0	0	0	4.466771572	1.708106267	3.71038547	3.896587524	2.848336254	4.302036322	3.589132391	4.141606356	2.854644126	2.2013	0
CI64	0	0	0	0	0	0	0	0	0	0	0	0	3.211396885	8.33753406	4.484136156	6.805392555	5.247708804	6.230171916	5.750998221	3.838890475	7.66867461	3.9423	0
CI90C	0	0	0	0	0	0	0	0	0	0	0	0	0.956022198	NA	2.257886843	NA	0.989872673	2.36888937	1.689849986	1.536174594	NA	2.2382	0
